TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
2014,2014,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2014,2014,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2014,2014,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2014,2014,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2015,2015,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2015,2015,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2015,2015,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2015,2015,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2016,2016,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2016,2016,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2016,2016,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2016,2016,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2017,2017,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2017,2017,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2017,2017,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2017,2017,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2018,2018,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2018,2018,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2018,2018,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2018,2018,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2018,2018,ALX,Not regionalised / Unknown level 1,Total,Total,Number,0,
2018,2018,ALXX,Not regionalised / Unknown level 2,Total,Total,Number,0,
2018,2018,MKX,Not regionalised / Unknown level 1,Total,Total,Number,193,
2018,2018,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,193,
2017,2017,MKX,Not regionalised / Unknown level 1,Total,Total,Number,219,
2017,2017,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,219,
2016,2016,MKX,Not regionalised / Unknown level 1,Total,Total,Number,280,
2016,2016,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,280,
2015,2015,MKX,Not regionalised / Unknown level 1,Total,Total,Number,308,
2015,2015,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,308,
2014,2014,MKX,Not regionalised / Unknown level 1,Total,Total,Number,359,
2014,2014,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,359,
1990,1990,FI2,Åland,Total,Total,Number,24231,
1990,1990,FI20,Åland,Total,Total,Number,24231,
1991,1991,FI2,Åland,Total,Total,Number,24604,
1991,1991,FI20,Åland,Total,Total,Number,24604,
1992,1992,FI2,Åland,Total,Total,Number,24847,
1992,1992,FI20,Åland,Total,Total,Number,24847,
1993,1993,FI2,Åland,Total,Total,Number,24993,
1993,1993,FI20,Åland,Total,Total,Number,24993,
1994,1994,FI2,Åland,Total,Total,Number,25102,
1994,1994,FI20,Åland,Total,Total,Number,25102,
1995,1995,FI2,Åland,Total,Total,Number,25158,
1995,1995,FI20,Åland,Total,Total,Number,25158,
1996,1996,FI2,Åland,Total,Total,Number,25202,
1996,1996,FI20,Åland,Total,Total,Number,25202,
1997,1997,FI2,Åland,Total,Total,Number,25257,
1997,1997,FI20,Åland,Total,Total,Number,25257,
1998,1998,FI2,Åland,Total,Total,Number,25392,
1998,1998,FI20,Åland,Total,Total,Number,25392,
1999,1999,FI2,Åland,Total,Total,Number,25625,
1999,1999,FI20,Åland,Total,Total,Number,25625,
2000,2000,FI2,Åland,Total,Total,Number,25706,
2000,2000,FI20,Åland,Total,Total,Number,25706,
2001,2001,FI2,Åland,Total,Total,Number,25776,
2001,2001,FI20,Åland,Total,Total,Number,25776,
2002,2002,FI2,Åland,Total,Total,Number,26008,
2002,2002,FI20,Åland,Total,Total,Number,26008,
2003,2003,FI2,Åland,Total,Total,Number,26257,
2003,2003,FI20,Åland,Total,Total,Number,26257,
2004,2004,FI2,Åland,Total,Total,Number,26347,
2004,2004,FI20,Åland,Total,Total,Number,26347,
2005,2005,FI2,Åland,Total,Total,Number,26530,
2005,2005,FI20,Åland,Total,Total,Number,26530,
2006,2006,FI2,Åland,Total,Total,Number,26766,
2006,2006,FI20,Åland,Total,Total,Number,26766,
2007,2007,FI2,Åland,Total,Total,Number,26923,
2007,2007,FI20,Åland,Total,Total,Number,26923,
2008,2008,FI2,Åland,Total,Total,Number,27153,
2008,2008,FI20,Åland,Total,Total,Number,27153,
2009,2009,FI2,Åland,Total,Total,Number,27456,
2009,2009,FI20,Åland,Total,Total,Number,27456,
2010,2010,FI2,Åland,Total,Total,Number,27734,
2010,2010,FI20,Åland,Total,Total,Number,27734,
2011,2011,FI2,Åland,Total,Total,Number,28007,
2011,2011,FI20,Åland,Total,Total,Number,28007,
2012,2012,FI2,Åland,Total,Total,Number,28354,
2012,2012,FI20,Åland,Total,Total,Number,28354,
1990,1990,LI,Liechtenstein,Total,Total,Number,28452,
1990,1990,LI0,Liechtenstein,Total,Total,Number,28452,
1990,1990,LI00,Liechtenstein,Total,Total,Number,28452,
2013,2013,FI2,Åland,Total,Total,Number,28501,
2013,2013,FI20,Åland,Total,Total,Number,28501,
2014,2014,FI2,Åland,Total,Total,Number,28666,
2014,2014,FI20,Åland,Total,Total,Number,28666,
2015,2015,FI2,Åland,Total,Total,Number,28916,
2015,2015,FI20,Åland,Total,Total,Number,28916,
2016,2016,FI2,Åland,Total,Total,Number,28983,
2016,2016,FI20,Åland,Total,Total,Number,28983,
1991,1991,LI,Liechtenstein,Total,Total,Number,29032,
1991,1991,LI0,Liechtenstein,Total,Total,Number,29032,
1991,1991,LI00,Liechtenstein,Total,Total,Number,29032,
2017,2017,FI2,Åland,Total,Total,Number,29214,
2017,2017,FI20,Åland,Total,Total,Number,29214,
1992,1992,LI,Liechtenstein,Total,Total,Number,29386,
1992,1992,LI0,Liechtenstein,Total,Total,Number,29386,
1992,1992,LI00,Liechtenstein,Total,Total,Number,29386,
2018,2018,FI2,Åland,Total,Total,Number,29489,
2018,2018,FI20,Åland,Total,Total,Number,29489,
1993,1993,LI,Liechtenstein,Total,Total,Number,29868,
1993,1993,LI0,Liechtenstein,Total,Total,Number,29868,
1993,1993,LI00,Liechtenstein,Total,Total,Number,29868,
1994,1994,LI,Liechtenstein,Total,Total,Number,30310,
1994,1994,LI0,Liechtenstein,Total,Total,Number,30310,
1994,1994,LI00,Liechtenstein,Total,Total,Number,30310,
1995,1995,LI,Liechtenstein,Total,Total,Number,30629,
1995,1995,LI0,Liechtenstein,Total,Total,Number,30629,
1995,1995,LI00,Liechtenstein,Total,Total,Number,30629,
1996,1996,LI,Liechtenstein,Total,Total,Number,30923,
1996,1996,LI0,Liechtenstein,Total,Total,Number,30923,
1996,1996,LI00,Liechtenstein,Total,Total,Number,30923,
1997,1997,LI,Liechtenstein,Total,Total,Number,31143,
1997,1997,LI0,Liechtenstein,Total,Total,Number,31143,
1997,1997,LI00,Liechtenstein,Total,Total,Number,31143,
1998,1998,LI,Liechtenstein,Total,Total,Number,31320,
1998,1998,LI0,Liechtenstein,Total,Total,Number,31320,
1998,1998,LI00,Liechtenstein,Total,Total,Number,31320,
1999,1999,LI,Liechtenstein,Total,Total,Number,32015,
1999,1999,LI0,Liechtenstein,Total,Total,Number,32015,
1999,1999,LI00,Liechtenstein,Total,Total,Number,32015,
2000,2000,LI,Liechtenstein,Total,Total,Number,32426,
2000,2000,LI0,Liechtenstein,Total,Total,Number,32426,
2000,2000,LI00,Liechtenstein,Total,Total,Number,32426,
2001,2001,LI,Liechtenstein,Total,Total,Number,32863,
2001,2001,LI0,Liechtenstein,Total,Total,Number,32863,
2001,2001,LI00,Liechtenstein,Total,Total,Number,32863,
2002,2002,LI,Liechtenstein,Total,Total,Number,33525,
2002,2002,LI0,Liechtenstein,Total,Total,Number,33525,
2002,2002,LI00,Liechtenstein,Total,Total,Number,33525,
2003,2003,LI,Liechtenstein,Total,Total,Number,33863,
2003,2003,LI0,Liechtenstein,Total,Total,Number,33863,
2003,2003,LI00,Liechtenstein,Total,Total,Number,33863,
2004,2004,LI,Liechtenstein,Total,Total,Number,34294,
2004,2004,LI0,Liechtenstein,Total,Total,Number,34294,
2004,2004,LI00,Liechtenstein,Total,Total,Number,34294,
2005,2005,LI,Liechtenstein,Total,Total,Number,34600,
2005,2005,LI0,Liechtenstein,Total,Total,Number,34600,
2005,2005,LI00,Liechtenstein,Total,Total,Number,34600,
2006,2006,LI,Liechtenstein,Total,Total,Number,34905,
2006,2006,LI0,Liechtenstein,Total,Total,Number,34905,
2006,2006,LI00,Liechtenstein,Total,Total,Number,34905,
2007,2007,LI,Liechtenstein,Total,Total,Number,35168,
2007,2007,LI0,Liechtenstein,Total,Total,Number,35168,
2007,2007,LI00,Liechtenstein,Total,Total,Number,35168,
2008,2008,LI,Liechtenstein,Total,Total,Number,35356,
2008,2008,LI0,Liechtenstein,Total,Total,Number,35356,
2008,2008,LI00,Liechtenstein,Total,Total,Number,35356,
2009,2009,LI,Liechtenstein,Total,Total,Number,35589,
2009,2009,LI0,Liechtenstein,Total,Total,Number,35589,
2009,2009,LI00,Liechtenstein,Total,Total,Number,35589,
2010,2010,LI,Liechtenstein,Total,Total,Number,35894,
2010,2010,LI0,Liechtenstein,Total,Total,Number,35894,
2010,2010,LI00,Liechtenstein,Total,Total,Number,35894,
2011,2011,LI,Liechtenstein,Total,Total,Number,36149,
2011,2011,LI0,Liechtenstein,Total,Total,Number,36149,
2011,2011,LI00,Liechtenstein,Total,Total,Number,36149,
2012,2012,LI,Liechtenstein,Total,Total,Number,36475,
2012,2012,LI0,Liechtenstein,Total,Total,Number,36475,
2012,2012,LI00,Liechtenstein,Total,Total,Number,36475,
2013,2013,LI,Liechtenstein,Total,Total,Number,36838,
2013,2013,LI0,Liechtenstein,Total,Total,Number,36838,
2013,2013,LI00,Liechtenstein,Total,Total,Number,36838,
2014,2014,LI,Liechtenstein,Total,Total,Number,37129,
2014,2014,LI0,Liechtenstein,Total,Total,Number,37129,
2014,2014,LI00,Liechtenstein,Total,Total,Number,37129,
2015,2015,LI,Liechtenstein,Total,Total,Number,37366,
2015,2015,LI0,Liechtenstein,Total,Total,Number,37366,
2015,2015,LI00,Liechtenstein,Total,Total,Number,37366,
2016,2016,LI,Liechtenstein,Total,Total,Number,37622,
2016,2016,LI0,Liechtenstein,Total,Total,Number,37622,
2016,2016,LI00,Liechtenstein,Total,Total,Number,37622,
2017,2017,LI,Liechtenstein,Total,Total,Number,37810,
2017,2017,LI0,Liechtenstein,Total,Total,Number,37810,
2017,2017,LI00,Liechtenstein,Total,Total,Number,37810,
2018,2018,LI,Liechtenstein,Total,Total,Number,38114,
2018,2018,LI0,Liechtenstein,Total,Total,Number,38114,
2018,2018,LI00,Liechtenstein,Total,Total,Number,38114,
1990,1990,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,56379,
1991,1991,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,56605,
1992,1992,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,57417,
1993,1993,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,58528,
1994,1994,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,59559,
1995,1995,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,60450,
1996,1996,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,61381,
1997,1997,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,62267,
1998,1998,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,63143,
1999,1999,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,63989,
2004,2004,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,64747,
2000,2000,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,64851,
2005,2005,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,64910,
2003,2003,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,65387,
2001,2001,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,65725,
2002,2002,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,65897,
2006,2006,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,67111,
1990,1990,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,67466,
1991,1991,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,67610,
1992,1992,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,67981,
1993,1993,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,68449,
1994,1994,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,68957,
2007,2007,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,68967,
1995,1995,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,69318,
1996,1996,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,69735,
1997,1997,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,69990,
1998,1998,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,70311,
1999,1999,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,70547,
2000,2000,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,70855,
2002,2002,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,70868,
2003,2003,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,71109,
2001,2001,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,71183,
2008,2008,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,71244,
2004,2004,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,71538,
2005,2005,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,71977,
2006,2006,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,72807,
2009,2009,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,73365,
2007,2007,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,74161,
2008,2008,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,75250,
2010,2010,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,76049,
2009,2009,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,76927,
2011,2011,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,78866,
2010,2010,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,79294,
2011,2011,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,81621,
2012,2012,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,81792,
2013,2013,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,83620,
2012,2012,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,83845,
2014,2014,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,83870,
2013,2013,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,84539,
2015,2015,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,84570,
2016,2016,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,84652,
2014,2014,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,84674,
2015,2015,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,84692,
2018,2018,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,84708,
2016,2016,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,84764,
2017,2017,ES64,Ciudad Autónoma de Melilla (ES),Total,Total,Number,84946,
2017,2017,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,85034,
2018,2018,ES63,Ciudad Autónoma de Ceuta (ES),Total,Total,Number,85209,
1990,1990,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,114409,
1991,1991,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,115275,
1992,1992,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,115896,
1993,1993,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,116244,
1994,1994,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,116389,
1995,1995,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,116653,
1996,1996,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,117063,
1997,1997,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,117588,
1998,1998,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,118071,
1999,1999,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,118615,
2000,2000,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,118861,
2001,2001,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,119273,
2002,2002,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,119353,
2003,2003,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,120372,
2004,2004,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,121555,
2005,2005,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,122927,
2006,2006,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,123969,
2007,2007,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,124654,
2008,2008,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,125550,
2018,2018,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,126202,
2009,2009,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,126369,
2012,2012,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,126620,
2010,2010,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,126686,
2011,2011,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,126761,
2017,2017,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,126883,
2016,2016,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,127329,
2013,2013,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,127844,
2015,2015,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,128298,
2014,2014,ITC2,Valle d'Aosta/Vallée d'Aoste,Total,Total,Number,128591,
1999,1999,FRY3,Guyane,Total,Total,Number,155760,
1999,1999,FRA3,Guyane (NUTS 2013),Total,Total,Number,155760,
2000,2000,FRY3,Guyane,Total,Total,Number,162018,
2000,2000,FRA3,Guyane (NUTS 2013),Total,Total,Number,162018,
2001,2001,FRY3,Guyane,Total,Total,Number,168614,
2001,2001,FRA3,Guyane (NUTS 2013),Total,Total,Number,168614,
2002,2002,FRY3,Guyane,Total,Total,Number,176638,
2002,2002,FRA3,Guyane (NUTS 2013),Total,Total,Number,176638,
2003,2003,FRY3,Guyane,Total,Total,Number,184792,
2003,2003,FRA3,Guyane (NUTS 2013),Total,Total,Number,184792,
1991,1991,EL62,Ionia Nisia,Total,Total,Number,189847,
1990,1990,EL41,Voreio Aigaio,Total,Total,Number,191923,
2004,2004,FRY3,Guyane,Total,Total,Number,193167,
2004,2004,FRA3,Guyane (NUTS 2013),Total,Total,Number,193167,
1992,1992,EL62,Ionia Nisia,Total,Total,Number,193943,
1993,1993,EL62,Ionia Nisia,Total,Total,Number,195196,
1994,1994,EL62,Ionia Nisia,Total,Total,Number,196482,
2016,2016,EL41,Voreio Aigaio,Total,Total,Number,196654,
2001,2001,EL41,Voreio Aigaio,Total,Total,Number,196774,
2000,2000,EL41,Voreio Aigaio,Total,Total,Number,196904,
1995,1995,EL62,Ionia Nisia,Total,Total,Number,196987,
1999,1999,EL41,Voreio Aigaio,Total,Total,Number,197415,
2015,2015,EL41,Voreio Aigaio,Total,Total,Number,197695,
1996,1996,EL62,Ionia Nisia,Total,Total,Number,198097,
1998,1998,EL41,Voreio Aigaio,Total,Total,Number,198142,
2007,2007,EL41,Voreio Aigaio,Total,Total,Number,198191,
2014,2014,EL41,Voreio Aigaio,Total,Total,Number,198581,
2008,2008,EL41,Voreio Aigaio,Total,Total,Number,198675,
1997,1997,EL41,Voreio Aigaio,Total,Total,Number,198782,
1995,1995,EL41,Voreio Aigaio,Total,Total,Number,198878,
1996,1996,EL41,Voreio Aigaio,Total,Total,Number,199086,
1997,1997,EL62,Ionia Nisia,Total,Total,Number,199106,
2004,2004,EL41,Voreio Aigaio,Total,Total,Number,199160,
2005,2005,EL41,Voreio Aigaio,Total,Total,Number,199177,
2006,2006,EL41,Voreio Aigaio,Total,Total,Number,199187,
2005,2005,FRY3,Guyane,Total,Total,Number,199206,
2005,2005,FRA3,Guyane (NUTS 2013),Total,Total,Number,199206,
1994,1994,EL41,Voreio Aigaio,Total,Total,Number,199226,
2002,2002,EL41,Voreio Aigaio,Total,Total,Number,199375,
2003,2003,EL41,Voreio Aigaio,Total,Total,Number,199375,
2013,2013,EL41,Voreio Aigaio,Total,Total,Number,199478,
2009,2009,EL41,Voreio Aigaio,Total,Total,Number,199517,
1993,1993,EL41,Voreio Aigaio,Total,Total,Number,200088,
2010,2010,EL41,Voreio Aigaio,Total,Total,Number,200179,
2012,2012,EL41,Voreio Aigaio,Total,Total,Number,200591,
2011,2011,EL41,Voreio Aigaio,Total,Total,Number,200831,
1998,1998,EL62,Ionia Nisia,Total,Total,Number,201027,
1992,1992,EL41,Voreio Aigaio,Total,Total,Number,201249,
1999,1999,EL62,Ionia Nisia,Total,Total,Number,202741,
1991,1991,EL41,Voreio Aigaio,Total,Total,Number,202907,
2000,2000,EL62,Ionia Nisia,Total,Total,Number,203658,
2017,2017,EL41,Voreio Aigaio,Total,Total,Number,203700,
2018,2018,EL62,Ionia Nisia,Total,Total,Number,204562,
2001,2001,EL62,Ionia Nisia,Total,Total,Number,205299,
2017,2017,EL62,Ionia Nisia,Total,Total,Number,205431,
2006,2006,FRY3,Guyane,Total,Total,Number,205954,
2006,2006,FRA3,Guyane (NUTS 2013),Total,Total,Number,205954,
2016,2016,EL62,Ionia Nisia,Total,Total,Number,206141,
2005,2005,EL62,Ionia Nisia,Total,Total,Number,206688,
2006,2006,EL62,Ionia Nisia,Total,Total,Number,206703,
2004,2004,EL62,Ionia Nisia,Total,Total,Number,206877,
2015,2015,EL62,Ionia Nisia,Total,Total,Number,207059,
2007,2007,EL62,Ionia Nisia,Total,Total,Number,207149,
2003,2003,EL62,Ionia Nisia,Total,Total,Number,207415,
2008,2008,EL62,Ionia Nisia,Total,Total,Number,207508,
2014,2014,EL62,Ionia Nisia,Total,Total,Number,207664,
2002,2002,EL62,Ionia Nisia,Total,Total,Number,208075,
2009,2009,EL62,Ionia Nisia,Total,Total,Number,208161,
2013,2013,EL62,Ionia Nisia,Total,Total,Number,208241,
2010,2010,EL62,Ionia Nisia,Total,Total,Number,208675,
2012,2012,EL62,Ionia Nisia,Total,Total,Number,209131,
2011,2011,EL62,Ionia Nisia,Total,Total,Number,209221,
2018,2018,EL41,Voreio Aigaio,Total,Total,Number,211137,
1990,1990,NL23,Flevoland,Total,Total,Number,211507,
2007,2007,FRY3,Guyane,Total,Total,Number,213031,
2007,2007,FRA3,Guyane (NUTS 2013),Total,Total,Number,213031,
2008,2008,FRY3,Guyane,Total,Total,Number,219266,
2008,2008,FRA3,Guyane (NUTS 2013),Total,Total,Number,219266,
1991,1991,NL23,Flevoland,Total,Total,Number,221505,
2014,2014,FRY5,Mayotte,Total,Total,Number,223713,
2009,2009,FRY3,Guyane,Total,Total,Number,224469,
2009,2009,FRA3,Guyane (NUTS 2013),Total,Total,Number,224469,
2010,2010,FRY3,Guyane,Total,Total,Number,229040,
2010,2010,FRA3,Guyane (NUTS 2013),Total,Total,Number,229040,
2015,2015,FRA5,Mayotte (NUTS 2013),Total,Total,Number,230315,p
1990,1990,BE34,Prov. Luxembourg (BE),Total,Total,Number,230827,
2015,2015,FRY5,Mayotte,Total,Total,Number,232189,
1991,1991,BE34,Prov. Luxembourg (BE),Total,Total,Number,232740,
1992,1992,NL23,Flevoland,Total,Total,Number,232823,
1992,1992,BE34,Prov. Luxembourg (BE),Total,Total,Number,234664,
1993,1993,BE34,Prov. Luxembourg (BE),Total,Total,Number,236850,
2011,2011,FRY3,Guyane,Total,Total,Number,237549,
2011,2011,FRA3,Guyane (NUTS 2013),Total,Total,Number,237549,
1994,1994,BE34,Prov. Luxembourg (BE),Total,Total,Number,238142,
2016,2016,FRA5,Mayotte (NUTS 2013),Total,Total,Number,239532,p
2012,2012,FRY3,Guyane,Total,Total,Number,239648,
2012,2012,FRA3,Guyane (NUTS 2013),Total,Total,Number,239648,
1994,1994,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,239688,
1994,1994,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,239688,
1995,1995,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,239757,
1995,1995,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,239757,
1996,1996,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,239786,
1996,1996,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,239786,
1993,1993,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,239918,
1993,1993,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,239918,
1997,1997,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,239935,
1997,1997,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,239935,
1992,1992,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,239984,
1992,1992,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,239984,
1998,1998,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,239993,
1998,1998,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,239993,
1995,1995,BE34,Prov. Luxembourg (BE),Total,Total,Number,240281,
1999,1999,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,240289,
1999,1999,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,240289,
1991,1991,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,240520,
1991,1991,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,240520,
2000,2000,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,240759,
2000,2000,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,240759,
2016,2016,FRY5,Mayotte,Total,Total,Number,240987,
1996,1996,BE34,Prov. Luxembourg (BE),Total,Total,Number,241339,
2001,2001,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,241387,
2001,2001,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,241387,
1999,1999,PT3,Região Autónoma da Madeira (PT),Total,Total,Number,242271,
1999,1999,PT30,Região Autónoma da Madeira (PT),Total,Total,Number,242271,
1997,1997,BE34,Prov. Luxembourg (BE),Total,Total,Number,242526,
1998,1998,PT3,Região Autónoma da Madeira (PT),Total,Total,Number,242535,
1998,1998,PT30,Região Autónoma da Madeira (PT),Total,Total,Number,242535,
2002,2002,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,242544,
2002,2002,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,242544,
2000,2000,PT3,Região Autónoma da Madeira (PT),Total,Total,Number,242823,
2000,2000,PT30,Região Autónoma da Madeira (PT),Total,Total,Number,242823,
1997,1997,PT3,Região Autónoma da Madeira (PT),Total,Total,Number,243212,
1997,1997,PT30,Região Autónoma da Madeira (PT),Total,Total,Number,243212,
2003,2003,PT2,Região Autónoma dos Açores (PT),Total,Total,Number,243303,
2003,2003,PT20,Região Autónoma dos Açores (PT),Total,Total,Number,243303,
1993,1993,NL23,Flevoland,Total,Total,Number,243441,
